Run,Best Parameters,Best Cross-Validation F1-Score,Tuning Time (s),Test Accuracy,Test F1-Score,Test Precision,Test Recall
1,"[844.4374093398956, 7.579568233962731]",0.7069532017017564,95.66884016990662,0.761,0.7069532017017564,0.7143921916592725,0.761
2,"[801.5348335032711, 0.0001]",0.8475099702544894,123.69938492774963,0.853,0.8475099702544894,0.8465972288580983,0.853
3,"[100.67089272155319, 4.910163586428573]",0.7302743519579726,223.84483933448792,0.773,0.7302743519579726,0.7397711221059787,0.773
4,"[23.891218095180633, 0.018748833730895444]",0.8600597512679775,248.8689742088318,0.864,0.8600597512679775,0.8590659178244161,0.864
5,"[323.2594032226348, 0.0001]",0.850204081632653,238.8035922050476,0.856,0.850204081632653,0.8497029702970297,0.856
6,"[622.939404720213, 7.417895713908368]",0.7087123496850544,85.33389353752136,0.762,0.7087123496850544,0.7167188940092166,0.762
7,"[754.0905597704832, 8.01127800105767]",0.7040905618445725,130.9465355873108,0.76,0.7040905618445725,0.7115631691648822,0.76
8,"[342.3343977826141, 0.1850977651828365]",0.8131328330406672,259.9983220100403,0.813,0.8131328330406672,0.8132675118495072,0.813
9,"[226.7831887951107, 9.622954128840245]",0.7025252689191804,82.8645076751709,0.761,0.7025252689191804,0.7128085336685348,0.761
10,"[463.06105707923996, 3.7331819827572814]",0.7352583537346585,83.97238230705261,0.775,0.7352583537346585,0.7435003734395561,0.775
11,"[571.4454544304446, 4.288947657845679]",0.7319068736141907,87.09148859977722,0.774,0.7319068736141907,0.7415909090909091,0.774
12,"[448.82388127597574, 5.093448945794667]",0.7253336869088659,157.0655870437622,0.77,0.7253336869088659,0.734154709918902,0.77
13,"[445.1166724310397, 5.828864473843186]",0.7149583156704818,253.9955768585205,0.765,0.7149583156704818,0.7236756756756756,0.765
14,"[259.08259086630204, 6.852611403846073]",0.7104631253105492,82.36224269866943,0.763,0.7104631253105492,0.7189993784017343,0.763
15,"[106.91785484788551, 7.025884981316156]",0.7069532017017564,77.01944041252136,0.761,0.7069532017017564,0.7143921916592725,0.761
16,"[962.919168769089, 0.0001]",0.8475099702544894,83.90374875068665,0.853,0.8475099702544894,0.8465972288580983,0.853
17,"[344.5681833296024, 4.596509522103808]",0.7319068736141907,119.65738224983215,0.774,0.7319068736141907,0.7415909090909091,0.774
18,"[524.7940939558451, 7.881466148856506]",0.7065564738292012,122.00928282737732,0.762,0.7065564738292012,0.7160132372980339,0.762
19,"[191.9431863290124, 6.886582030292889]",0.7104631253105492,118.11985921859741,0.763,0.7104631253105492,0.7189993784017343,0.763
20,"[681.6178556304967, 7.374528512756104]",0.7087123496850544,167.08167052268982,0.762,0.7087123496850544,0.7167188940092166,0.762
21,"[916.9540561023432, 6.513021842050314]",0.711505347223932,173.83844590187073,0.763,0.711505347223932,0.7193220138611813,0.763
22,"[180.32501402288125, 6.566347539408217]",0.7097666788188115,124.92882037162781,0.762,0.7097666788188115,0.7170833333333333,0.762
23,"[994.9675367385206, 0.6069291986871194]",0.7844773341446392,495.67019295692444,0.794,0.7844773341446392,0.7805595624950463,0.794
24,"[924.8727651007827, 9.486062919353971]",0.7029791459781529,114.17940473556519,0.76,0.7029791459781529,0.7111111111111111,0.76
25,"[711.7929669866536, 8.07806087085416]",0.7040905618445725,164.3637354373932,0.76,0.7040905618445725,0.7115631691648822,0.76
26,"[377.02460616014696, 9.267892398412435]",0.7018510284791613,106.68207883834839,0.76,0.7018510284791613,0.7106609808102345,0.76
27,"[747.795995085593, 1.4989444861893302]",0.755111741332716,291.98764514923096,0.783,0.755111741332716,0.7575539446591262,0.783
28,"[648.5323702568852, 7.013725272732651]",0.7087123496850544,109.02300429344177,0.762,0.7087123496850544,0.7167188940092166,0.762
29,"[95.9626122836223, 1.0845789624300173]",0.7715221237773876,231.44980549812317,0.794,0.7715221237773876,0.7735424494157389,0.794
30,"[563.147769165946, 3.314812745963899]",0.7392747367650968,142.6458282470703,0.777,0.7392747367650968,0.7470109942802343,0.777
