Run,Best Parameters,Best Cross-Validation F1-Score,Tuning Time (s),Test Accuracy,Test F1-Score,Test Precision,Test Recall
1,[10.79052961  0.01260568],0.8518980730687049,759.5273470878601,0.867,0.8627826140077584,0.8620783441989054,0.867
2,[6.88499793 0.08512694],0.8510534758579691,958.0548689365387,0.868,0.8634458807640363,0.8630106551802312,0.868
3,[1.85454366e+01 1.36195816e-02],0.8516754022502531,636.8053760528564,0.862,0.858001806433683,0.8569346733668342,0.862
4,[6.09987071 0.0352763 ],0.8513622568648233,493.5560805797577,0.868,0.8641756409365664,0.8633284067395802,0.868
5,[9.57134514 0.01135709],0.8519626083815819,656.7132232189178,0.866,0.8616270396270396,0.86095,0.866
6,[6.30941147 0.05836437],0.8513420841497737,707.8198313713074,0.866,0.8618739653459883,0.8610655351249411,0.866
7,[19.65462102  0.04112985],0.8519472291326025,681.9078526496887,0.869,0.8655562518096604,0.8646007639307711,0.869
8,[5.72424135 0.05389093],0.8517914319804879,914.5509765148163,0.868,0.8639355479527646,0.8632060348892032,0.868
9,[9.97811114 0.01749765],0.8521341407213094,864.6548562049866,0.862,0.8574965034965034,0.8566500000000001,0.862
10,[13.73557689  0.01973123],0.8518350824935572,620.0099840164185,0.866,0.8621176961022718,0.8611971622819982,0.866
11,[2.81158598e+01 1.00348757e-02],0.8526370118943326,720.2890064716339,0.859,0.854787075335882,0.8536539115278353,0.859
12,[50.92539648  0.45278218],0.849260046049336,476.5798428058624,0.804,0.79723782295266,0.793898586866168,0.804
13,[10.54228374  0.10145001],0.85149143365457,515.2073013782501,0.862,0.858001806433683,0.8569346733668342,0.862
14,[1.59251457 0.03438815],0.8489130396510545,551.2851905822754,0.868,0.8629433056129385,0.8628835281778415,0.868
15,[7.59969557 0.03505529],0.8521127583986324,734.0487337112427,0.866,0.8618739653459883,0.8610655351249411,0.866
